SID,Familiarity,Trial,Repetition,Resp,Corr,RT,ImgName
1,1,1,1,2,1,738.07,wordin2_1.png
1,1,2,1,1,1,790.33,wordin2_10.png
1,1,3,2,1,1,954.48,wordin1.png
1,1,4,1,1,1,710.88,wordin2_8.png
1,1,5,2,1,1,1155.16,wordex7.png
1,1,6,1,1,1,679.36,wordex2_3.png
1,1,7,1,1,1,630.25,wordex6.png
1,1,8,1,2,1,778.53,wordin2_12.png
1,1,9,1,1,1,1422.79,wordex2_9.png
1,1,10,2,2,1,1099.11,wordex2_7.png
1,1,11,2,2,1,1159.36,wordex2_12.png
1,1,12,1,2,1,755.54,wordex2_5.png
1,1,13,1,1,1,695.87,wordex2_4.png
1,1,14,1,1,1,756.1,wordin2_9.png
1,1,15,2,1,1,1056.36,wordex2_11.png
1,1,16,1,2,1,772.6,wordin2_11.png
1,1,17,2,2,1,792.8,wordin3.png
1,1,18,2,2,1,1068.93,wordin2_7.png
1,1,19,2,2,1,945.37,wordin4.png
1,1,20,1,1,1,693.62,wordex2_1.png
1,1,21,2,1,1,913.9,wordin2_3.png
1,1,22,2,1,1,1054.13,wordex11.png
1,1,23,2,2,1,986.34,wordin2_2.png
1,1,24,1,1,1,942.59,wordin10.png
1,1,25,2,2,1,842.84,wordex12.png
1,1,26,2,1,1,911.13,wordin2_6.png
1,1,27,1,2,1,915.35,wordex8.png
1,1,28,1,1,1,887.61,wordin2.png
1,1,29,2,1,1,1195.88,wordex2.png
1,1,30,1,1,1,648.16,wordin7.png
1,1,31,1,1,1,636.44,wordex2_8.png
1,1,32,1,1,1,744.68,wordex3.png
1,1,33,1,1,1,780.68,wordex10.png
1,1,34,2,1,1,1593.24,wordex2_10.png
1,1,35,2,1,1,1413.45,wordin8.png
1,1,36,1,1,1,713.74,wordin11.png
1,1,37,2,1,1,893.94,wordex2_2.png
1,1,38,2,1,1,1578.23,wordin5.png
1,1,39,2,1,1,838.47,wordex4.png
1,1,40,2,2,1,1066.74,wordex9.png
1,1,41,1,2,1,1399.02,wordin9.png
1,1,42,2,2,1,1187.26,wordin6.png
1,1,43,1,1,1,1647.49,wordin2_4.png
1,1,44,1,2,1,883.69,wordin2_5.png
1,1,45,2,2,1,1152.01,wordin12.png
1,1,46,2,1,1,1516.32,wordex2_6.png
1,1,47,2,0,0,0,wordex1.png
