SID,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
1,1,1,4,1,1,1664.67,nonwex6.png
1,2,2,4,1,1,1228.73,nonwex2_4.png
1,3,1,2,1,1,1697.13,nonwex3.png
1,4,2,1,1,1,1421.39,nonwin2_10.png
1,5,2,2,1,1,1449.71,nonwin2_3.png
1,6,1,2,1,1,1221.87,nonwin12.png
1,7,1,4,1,1,1082.19,nonwin2.png
1,8,2,2,2,1,1494.45,nonwex2_12.png
1,9,2,1,1,1,1501.36,nonwin10.png
1,10,1,3,1,1,1185.55,nonwex8.png
1,11,2,2,2,1,1237.84,nonwex2_3.png
1,12,2,1,1,1,1530.11,nonwex2_1.png
1,13,1,4,1,1,1214.38,nonwex4.png
1,14,1,1,1,1,1170.62,nonwex2_11.png
1,15,1,3,1,1,1270.89,nonwin2_8.png
1,16,2,2,1,1,1267.11,nonwex2_2.png
1,17,2,4,1,1,1359.12,nonwex12.png
1,18,2,2,1,1,1051.61,nonwin5.png
1,19,1,2,1,1,999.89,nonwin8.png
1,20,1,4,1,1,1028.08,nonwex2.png
1,21,1,1,1,1,968.33,nonwin2_1.png
1,22,1,3,1,1,964.65,nonwex2_8.png
1,23,1,2,1,1,1040.93,nonwin2_4.png
1,24,2,3,1,1,1341.16,nonwin2_5.png
1,25,1,4,1,1,1209.41,nonwin2_2.png
1,26,1,1,1,1,1205.6,nonwex11.png
1,27,2,1,1,1,1233.9,nonwin4.png
1,28,1,2,1,1,1062.2,nonwin1.png
1,29,2,4,1,1,1122.44,nonwex1.png
1,30,2,1,1,1,886.65,nonwin11.png
1,31,2,4,2,1,826.94,nonwex10.png
1,32,2,3,2,1,1198.98,nonwin2_12.png
1,33,1,3,1,1,1059.37,nonwin7.png
1,34,1,3,1,1,1223.5,nonwex2_7.png
1,35,1,1,1,1,1819.95,nonwin2_7.png
1,36,2,3,1,1,1336.23,nonwin3.png
1,37,2,1,1,1,780.46,nonwin2_9.png
1,38,2,4,1,1,728.71,nonwin2_6.png
1,39,2,2,2,1,1060.91,nonwex5.png
1,40,1,3,1,1,769.22,nonwex2_5.png
1,41,2,3,2,1,925.42,nonwex7.png
1,42,2,3,2,1,1393.66,nonwin9.png
1,43,1,4,1,1,1029.94,nonwin6.png
1,44,2,4,2,1,1338.19,nonwex9.png
1,45,1,1,1,1,1174.49,nonwin2_11.png
1,46,2,3,1,1,714.69,nonwex2_10.png
1,47,1,2,1,1,862.97,nonwex2_9.png
1,48,1,1,1,1,899.18,nonwex2_6.png
2,1,1,2,1,1,1562,nonwin2.png
2,2,2,3,2,1,1455.25,nonwin7.png
2,3,1,2,1,1,956.49,nonwex9.png
2,4,1,2,1,1,889.84,nonwex3.png
2,5,1,4,2,1,879.04,nonwin2_7.png
2,6,2,2,2,1,1460.35,nonwin2_9.png
2,7,2,3,2,1,1009.59,nonwex2_7.png
2,8,1,2,1,1,950.96,nonwex7.png
2,9,2,4,2,1,1196.04,nonwin3.png
2,10,2,3,1,1,857.47,nonwex2_10.png
2,11,1,1,1,1,1574.59,nonwin2_11.png
2,12,2,3,1,1,1548.05,nonwin2_1.png
2,13,2,4,1,1,1225.3,nonwex2_2.png
2,14,1,4,1,1,870.59,nonwex10.png
2,15,2,3,2,1,1723.89,nonwin2_10.png
2,16,2,4,1,1,913.07,nonwin2_2.png
2,17,2,2,2,1,1382.43,nonwex11.png
2,18,2,1,1,1,1307.68,nonwin10.png
2,19,2,1,1,1,1536.94,nonwin2_3.png
2,20,1,3,1,1,734.18,nonwex2_5.png
2,21,1,4,1,1,883.49,nonwex5.png
2,22,2,4,2,1,1184.75,nonwex6.png
2,23,2,4,1,1,1294.07,nonwin2_5.png
2,24,2,1,1,1,1539.36,nonwex4.png
2,25,2,2,2,1,1328.55,nonwex2_6.png
2,26,1,3,1,1,1045.69,nonwin11.png
2,27,2,2,1,1,1235.17,nonwin8.png
2,28,1,1,2,1,1000.4,nonwex2_11.png
2,29,1,2,2,1,821.65,nonwex2_9.png
2,30,1,4,2,1,986.94,nonwex8.png
2,31,1,3,2,1,1368.2,nonwex2.png
2,32,2,1,1,1,1053.57,nonwin2_4.png
2,33,2,1,1,1,1546.82,nonwin2_8.png
2,34,1,1,1,1,1720.07,nonwin1.png
2,35,1,3,2,1,2229.36,nonwex2_3.png
2,36,2,4,1,1,802.61,nonwin12.png
2,37,1,4,1,1,831.92,nonwex2_8.png
2,38,1,3,1,1,1173.19,nonwin6.png
2,39,1,1,1,1,1346.47,nonwin4.png
2,40,1,1,1,1,1679.77,nonwin2_6.png
2,41,1,4,2,1,1436.98,nonwin9.png
2,42,1,1,1,1,1474.28,nonwex2_12.png
2,43,2,2,1,1,631.33,nonwex1.png
2,44,2,3,2,1,1276.84,nonwex12.png
2,45,1,2,1,1,906.05,nonwin2_12.png
2,46,1,3,1,1,831.33,nonwex2_1.png
2,47,2,2,2,1,764.67,nonwex2_4.png
2,48,2,1,2,1,1193.95,nonwin5.png
3,1,1,2,1,1,1024.95,nonwex2_2.png
3,2,2,3,2,1,1333.24,nonwex2_12.png
3,3,1,3,2,1,969.3,nonwin2_10.png
3,4,1,2,1,1,776.42,nonwex2_10.png
3,5,1,4,2,1,996.65,nonwin2_8.png
3,6,2,1,1,1,872.88,nonwex10.png
3,7,2,1,2,1,1477.16,nonwin2_11.png
3,8,1,2,1,1,785.35,nonwex2_7.png
3,9,1,3,2,1,1005.62,nonwin3.png
3,10,1,4,1,1,913.87,nonwex12.png
3,11,2,4,2,1,1358.12,nonwex3.png
3,12,1,1,1,1,666.38,nonwex6.png
3,13,2,2,1,1,838.63,nonwex2_3.png
3,14,1,1,1,1,778.9,nonwin2_2.png
3,15,2,4,2,1,1175.18,nonwin9.png
3,16,1,3,1,1,939.38,nonwex4.png
3,17,1,1,2,1,791.66,nonwin5.png
3,18,2,2,1,1,915.67,nonwex2_11.png
3,19,2,4,2,1,1008.21,nonwin2_6.png
3,20,1,2,2,1,948.42,nonwin2_3.png
3,21,2,3,2,1,968.67,nonwex2_8.png
3,22,1,4,2,1,1268.9,nonwin2_4.png
3,23,1,3,2,1,1241.23,nonwex2_6.png
3,24,2,1,1,1,1277.42,nonwin2_12.png
3,25,1,3,1,1,857.63,nonwin2_9.png
3,26,2,2,2,1,885.92,nonwex9.png
3,27,1,4,2,1,1050.14,nonwex11.png
3,28,2,4,1,1,1342.45,nonwin6.png
3,29,2,4,2,1,1218.67,nonwin2_7.png
3,30,1,4,2,1,798.94,nonwin10.png
3,31,1,2,1,1,899.22,nonwin8.png
3,32,2,3,2,1,1351.52,nonwex8.png
3,33,1,4,1,1,955.48,nonwex2_4.png
3,34,2,2,2,1,824.01,nonwin2.png
3,35,2,3,1,1,1084.21,nonwex2.png
3,36,2,4,1,1,1280.48,nonwex7.png
3,37,1,1,2,1,700.69,nonwex1.png
3,38,1,1,2,1,865.04,nonwin2_5.png
3,39,1,3,2,1,989.26,nonwin12.png
3,40,2,3,0,0,0,nonwin11.png
3,41,1,2,1,1,877.77,nonwin2_1.png
3,42,2,1,1,1,938.04,nonwex2_9.png
3,43,2,3,2,1,830.28,nonwin4.png
3,44,2,2,1,1,1146.5,nonwex2_1.png
3,45,2,2,2,1,990.77,nonwin1.png
3,46,2,1,1,1,1051.11,nonwex2_5.png
3,47,1,1,2,1,791.32,nonwin7.png
3,48,2,1,2,1,1243.37,nonwex5.png
4,1,2,1,2,1,816.86,nonwex2.png
4,2,1,3,2,1,790.12,nonwin2_9.png
4,3,2,2,2,1,1107.37,nonwin2_7.png
4,4,1,1,1,1,704.53,nonwex2_3.png
4,5,1,4,2,1,926,nonwin2_3.png
4,6,2,3,2,1,1083.25,nonwex8.png
4,7,2,2,2,1,1288.52,nonwin12.png
4,8,1,3,1,1,805.8,nonwex2_10.png
4,9,2,2,2,1,867.05,nonwin8.png
4,10,1,3,2,1,1144.34,nonwex10.png
4,11,1,3,2,1,813.62,nonwin2_6.png
4,12,1,2,1,1,986.88,nonwex12.png
4,13,1,4,1,1,1080.18,nonwin3.png
4,14,2,1,2,1,1069.45,nonwex11.png
4,15,1,4,1,1,1034.74,nonwin10.png
4,16,2,4,2,1,1095.98,nonwex4.png
4,17,2,4,2,1,805.27,nonwin2_2.png
4,18,1,3,1,1,810.5,nonwin2_5.png
4,19,1,1,2,1,919.75,nonwex1.png
4,20,2,1,2,1,749.08,nonwin7.png
4,21,1,4,2,1,826.19,nonwex9.png
4,22,2,1,2,1,807.63,nonwin1.png
4,23,2,2,2,1,1628.88,nonwex2_11.png
4,24,1,1,2,1,770.11,nonwex2_4.png
4,25,1,1,2,1,631.45,nonwex2_12.png
4,26,1,2,2,1,996.74,nonwin11.png
4,27,2,4,2,1,1882.01,nonwex2_5.png
4,28,2,3,2,1,943.3,nonwin2_4.png
4,29,2,3,0,0,0,nonwex2_9.png
4,30,2,4,0,0,0,nonwin2_1.png
4,31,2,4,0,0,0,nonwin2.png
4,32,1,2,2,1,852.39,nonwin2_10.png
4,33,2,3,2,1,849.57,nonwex6.png
4,34,2,2,2,1,1126.89,nonwex2_6.png
4,35,1,4,2,1,892.22,nonwex5.png
4,36,2,1,2,1,697.27,nonwin2_8.png
4,37,1,2,2,1,950.74,nonwex7.png
4,38,2,3,2,1,1235.94,nonwex2_7.png
4,39,2,4,2,1,1985.22,nonwin2_11.png
4,40,1,2,2,1,1326.49,nonwex2_1.png
4,41,1,1,1,1,731.85,nonwin5.png
4,42,1,3,2,1,857.12,nonwin4.png
4,43,1,1,1,1,806.31,nonwin2_12.png
4,44,2,2,1,1,1667.66,nonwex3.png
4,45,2,3,2,1,1448.95,nonwin6.png
4,46,1,2,1,1,830.18,nonwex2_2.png
4,47,2,1,2,1,755.44,nonwex2_8.png
4,48,1,4,0,0,0,nonwin9.png
5,1,1,4,1,1,1035.33,nonwex2_7.png
5,2,2,3,1,1,1744.54,nonwex2_3.png
5,3,1,2,1,1,909.9,nonwex4.png
5,4,1,4,1,1,971.12,nonwin1.png
