SID,Trial,Correct,StudyResp,Visibility,ImgName
1,1,1,3,5,nat060
1,2,1,2,3,nat140
1,3,1,4,5,man150
1,4,1,4,5,man036
1,5,1,NaN,NaN,nat001
1,6,1,1,2,man078
1,7,1,4,5,fit300Square_55
1,8,1,2,2,man050
1,9,1,NaN,NaN,nat007
1,10,1,2,1,nat148
1,11,0,NaN,NaN,man164
1,12,0,1,3,nat058
1,13,1,3,1,man187
1,14,1,4,5,man158
1,15,0,1,1,fit300Square_17
1,16,0,4,4,man307
1,17,0,1,2,man099
1,18,1,2,3,nat070
1,19,0,2,1,man281
1,20,1,1,1,man134
1,21,1,3,4,fit300Square_36
1,22,1,1,2,fit300Square_21
1,23,0,2,2,nat073
1,24,1,1,2,man085
1,25,1,2,2,man244
1,26,0,2,1,man112
1,27,1,3,2,man095
1,28,1,NaN,NaN,man298
1,29,1,4,5,man060
1,30,0,4,5,man208
1,31,1,NaN,NaN,man229
1,32,1,1,1,man295
1,33,1,1,2,man159
1,34,1,NaN,NaN,man245
1,35,0,2,2,nat048
1,36,1,1,1,fit300Square_57
1,37,1,2,2,fit300Square_02
1,38,1,3,1,man094
1,39,1,3,3,nat027
1,40,0,3,2,fit300Square_60
1,41,1,2,2,man029
1,42,1,NaN,NaN,man168
1,43,1,NaN,NaN,nat014
1,44,1,4,5,nat037
1,45,1,1,1,man271
1,46,1,4,5,nat107
1,47,1,4,4,man096
1,48,1,1,1,nat120
1,49,1,NaN,NaN,man137
1,50,1,1,2,man268
1,51,1,1,2,man084
1,52,1,4,4,fit300Square_40
1,53,1,NaN,4,man086
1,54,1,3,5,nat121
1,55,0,NaN,NaN,man034
1,56,1,1,1,nat147
1,57,1,4,5,man328
1,58,0,2,1,fit300Square_08
1,59,1,1,1,man012
1,60,1,NaN,NaN,fit300Square_48
1,61,1,NaN,NaN,nat090
1,62,1,NaN,NaN,man015
1,63,1,NaN,NaN,man005
1,64,0,NaN,NaN,man249
1,65,1,4,5,man237
1,66,0,NaN,NaN,fit300Square_58
1,67,1,4,5,man203
1,68,1,4,5,man234
1,69,0,4,4,man311
1,70,0,4,4,man255
1,71,0,3,3,man301
1,72,1,2,4,fit300Square_51
1,73,0,4,5,nat097
1,74,1,1,3,fit300Square_30
1,75,0,4,3,man045
1,76,1,2,2,man092
1,77,1,1,2,man162
1,78,1,1,3,fit300Square_33
1,79,1,1,1,man277
1,80,1,NaN,3,man023
1,81,1,1,3,nat035
1,82,1,2,1,nat045
1,83,1,1,2,man076
1,84,0,NaN,3,man108
1,85,1,4,5,man310
1,86,1,1,1,nat128
1,87,1,4,5,nat098
1,88,1,4,4,man062
1,89,1,2,1,man155
1,90,1,3,4,man276
1,91,1,4,5,man191
1,92,0,4,5,man006
1,93,1,2,3,man115
1,94,0,2,3,fit300Square_15
1,95,0,1,1,man299
1,96,0,2,2,man171
1,97,0,1,1,fit300Square_46
1,98,1,4,5,man169
1,99,1,3,4,man260
1,100,1,4,4,fit300Square_61
1,101,1,NaN,NaN,fit300Square_16
1,102,0,1,1,man178
1,103,1,1,2,man313
1,104,1,3,4,nat115
1,105,0,2,2,man136
1,106,1,NaN,NaN,man035
1,107,0,3,5,man209
1,108,1,2,3,man016
1,109,0,NaN,NaN,nat099
1,110,1,3,5,man002
1,111,1,1,1,man267
1,112,1,1,1,man093
1,113,1,1,1,nat011
1,114,1,4,3,man072
1,115,1,4,4,man287
1,116,1,4,5,fit300Square_05
1,117,0,NaN,NaN,nat127
1,118,1,4,5,man182
1,119,0,2,4,fit300Square_31
1,120,1,4,5,fit300Square_27
1,121,0,3,4,man153
1,122,0,NaN,NaN,man186
1,123,1,1,3,man330
1,124,1,1,1,man109
1,125,1,1,2,man135
1,126,1,4,2,nat093
1,127,0,3,4,nat069
1,128,1,1,1,nat015
1,129,0,1,1,man247
1,130,1,4,5,fit300Square_44
1,131,1,3,3,man221
1,132,1,NaN,NaN,man331
1,133,0,1,1,man010
1,134,1,4,3,man233
1,135,0,NaN,2,nat002
1,136,1,1,3,man031
1,137,1,NaN,NaN,nat067
1,138,1,4,4,fit300Square_32
1,139,1,2,1,man101
1,140,1,NaN,NaN,nat059
1,141,1,1,3,fit300Square_49
1,142,1,4,5,man300
1,143,1,2,3,nat102
1,144,1,4,5,man336
1,145,1,NaN,NaN,fit300Square_09
1,146,1,2,5,fit300Square_39
1,147,1,4,5,man042
1,148,0,1,2,nat091
1,149,1,1,4,nat111
1,150,1,4,5,nat030
1,151,0,1,3,man304
1,152,1,3,4,man323
1,153,1,1,1,fit300Square_53
1,154,1,4,3,nat133
1,155,1,NaN,NaN,man170
1,156,1,4,5,fit300Square_52
1,157,1,NaN,NaN,man302
1,158,1,4,4,man199
1,159,1,2,2,man188
1,160,0,3,4,nat117
1,161,1,NaN,NaN,nat096
1,162,1,NaN,4,man306
1,163,1,NaN,NaN,man196
1,164,1,4,5,man250
1,165,1,2,2,man265
1,166,1,1,2,fit300Square_13
1,167,1,1,3,man025
1,168,1,4,3,nat123
1,169,1,4,3,nat113
1,170,1,4,5,man128
1,171,1,4,5,nat142
1,172,0,2,1,fit300Square_04
1,173,1,NaN,NaN,fit300Square_45
1,174,1,3,1,man246
1,175,1,2,4,nat088
1,176,1,NaN,NaN,nat081
1,177,0,3,4,nat151
1,178,1,2,3,man102
1,179,1,4,5,man206
1,180,1,3,3,nat139
1,181,1,1,1,nat119
1,182,1,NaN,NaN,man105
1,183,1,NaN,NaN,nat104
1,184,1,2,3,man177
1,185,1,1,2,man322
1,186,1,2,4,man032
1,187,0,1,1,nat028
1,188,1,2,3,fit300Square_64
1,189,0,3,5,man120
1,190,1,1,1,nat065
1,191,1,1,1,nat061
1,192,0,2,2,man048
1,193,0,4,5,man022
1,194,1,2,4,man066
1,195,1,4,3,man222
1,196,1,1,3,man039
1,197,1,2,3,nat025
1,198,1,NaN,NaN,man239
1,199,1,NaN,NaN,nat138
1,200,1,3,3,fit300Square_20
1,201,0,4,4,man205
1,202,1,4,4,man240
